2017-06-07 00:27:43.308	    7f0d59313740	INFO 	global	contrib/epee/src/mlog.cpp:145	New log categories: *:WARNING,net:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO
2017-06-07 00:27:43.308	    7f0d59313740	INFO 	global	src/daemon/main.cpp:282	Monero 'Wolfram Warptangent' (v0.10.3.1-release)
2017-06-07 00:27:43.308	    7f0d59313740	INFO 	global	src/daemon/protocol.h:55	Initializing cryptonote protocol...
2017-06-07 00:27:43.308	    7f0d59313740	INFO 	global	src/daemon/protocol.h:60	Cryptonote protocol initialized OK
2017-06-07 00:27:43.308	    7f0d59313740	INFO 	global	src/daemon/p2p.h:63	Initializing p2p server...
2017-06-07 00:27:47.513	    7f0d59313740	INFO 	global	src/daemon/p2p.h:68	P2p server initialized OK
2017-06-07 00:27:47.513	    7f0d59313740	INFO 	global	src/daemon/rpc.h:58	Initializing core rpc server...
2017-06-07 00:27:47.513	    7f0d59313740	INFO 	global	contrib/epee/include/net/http_server_impl_base.h:70	Binding on 127.0.0.1:18081
2017-06-07 00:27:47.514	    7f0d59313740	INFO 	global	src/daemon/rpc.h:63	Core rpc server initialized OK on port: 18081
2017-06-07 00:27:47.514	    7f0d59313740	INFO 	global	src/daemon/core.h:73	Initializing core...
2017-06-07 00:27:47.514	    7f0d59313740	INFO 	global	src/cryptonote_core/cryptonote_core.cpp:326	Loading blockchain from folder /app/.bitmonero/lmdb ...
2017-06-07 00:27:47.515	    7f0d59313740	WARN 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:71	Error attempting to retrieve a hard fork version at height 0 from the db: MDB_NOTFOUND: No matching key/data pair found
2017-06-07 00:27:47.515	    7f0d59313740	INFO 	stacktrace	src/common/stack_trace.cpp:119	Exception: cryptonote::DB_ERROR
2017-06-07 00:27:47.515	    7f0d59313740	INFO 	stacktrace	src/common/stack_trace.cpp:120	Unwound call stack:
2017-06-07 00:27:47.639	    7f0d59313740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [1] monero-v0.10.3.1/monerod:__wrap___cxa_throw+0x80 [0x8e4280]
2017-06-07 00:27:47.639	    7f0d59313740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [2] monero-v0.10.3.1/monerod() [0x9525e0]
2017-06-07 00:27:47.639	    7f0d59313740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [3] monero-v0.10.3.1/monerod:cryptonote::BlockchainLMDB::get_hard_fork_version(unsigned long) const+0x3b4 [0x9731c4]
2017-06-07 00:27:47.639	    7f0d59313740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [4] monero-v0.10.3.1/monerod:cryptonote::HardFork::init()+0x12c [0x9b481c]
2017-06-07 00:27:47.639	    7f0d59313740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [5] monero-v0.10.3.1/monerod:cryptonote::Blockchain::init(cryptonote::BlockchainDB*, bool, cryptonote::test_options const*)+0x1be [0x85934e]
